Device_id, total # of records, # of good records, # of bad records
20635F00C8000015,232,232,0
20635F00C8000062,23,4,19
20635F00C8000063,29,1,28
20635F00C8000064,23,0,23
20635F00C8000065,26,1,25
20635F00C8000066,35,4,31
20635F00C8000067,58,36,22
20635F00C8000068,31,6,25
20635F00C8000069,27,7,20
20635F00C800006A,55,27,28
20635F00C800006B,0,0,0
20635F00C8000080,40,3,37
20635F00C8000081,96,3,93
20635F00C8000082,88,1,87
20635F00C8000083,93,6,87
20635F00C8000084,272,138,134
20635F00C8000085,46,1,45
20635F00C8000086,69,6,63
20635F00C8000087,80,27,53
20635F00C8000088,48,1,47
20635F00C8000089,58,2,56
20635F00C80000A8,128,86,42
20635F00C80000A9,70,2,68
20635F00C80000AA,60,2,58
20635F00C80000AB,55,3,52
20635F00C80000AC,52,3,49
20635F00C80000AD,43,2,41
20635F00C80000AE,53,5,48
20635F00C80000AF,156,72,84
20635F00C80000B0,54,5,49
20635F00C80000B1,138,90,48
20635F00C80000BC,56,2,54
20635F00C80000BD,46,0,46
20635F00C80000BE,148,80,68
20635F00C80000BF,74,1,73
20635F00C80000C0,56,0,56
20635F00C80000C1,49,2,47
20635F00C80000C2,52,1,51
20635F00C80000C3,38,1,37
20635F00C80000C4,49,2,47
20635F00C80000C5,59,1,58
20635F00C80000E4,64,2,62
20635F00C80000E5,89,9,80
20635F00C80000E6,110,87,23
20635F00C80000E7,237,1,236
20635F00C80000E8,86,2,84
20635F00C80000E9,65,2,63
20635F00C80000EA,0,0,0
20635F00C80000EB,0,0,0
20635F00C80000EC,0,0,0
20635F00C80000ED,31,0,31
20635F010700005D,0,0,0
20635F01070000A5,0,0,0
Overall,3547,969,2578
