Device_id, total # of records, # of good records, # of bad records
20635F00C8000015,222,222,0
20635F00C8000062,15,0,15
20635F00C8000063,23,1,22
20635F00C8000064,18,1,17
20635F00C8000065,17,0,17
20635F00C8000066,19,1,18
20635F00C8000067,16,1,15
20635F00C8000068,19,0,19
20635F00C8000069,25,1,24
20635F00C800006A,11,0,11
20635F00C800006B,0,0,0
20635F00C8000080,15,0,15
20635F00C8000081,88,6,82
20635F00C8000082,83,4,79
20635F00C8000083,80,5,75
20635F00C8000084,249,125,124
20635F00C8000085,50,5,45
20635F00C8000086,50,2,48
20635F00C8000087,43,4,39
20635F00C8000088,49,4,45
20635F00C8000089,74,4,70
20635F00C80000A8,110,73,37
20635F00C80000A9,76,3,73
20635F00C80000AA,63,3,60
20635F00C80000AB,29,1,28
20635F00C80000AC,31,1,30
20635F00C80000AD,38,1,37
20635F00C80000AE,47,2,45
20635F00C80000AF,119,54,65
20635F00C80000B0,41,2,39
20635F00C80000B1,137,93,44
20635F00C80000BC,39,0,39
20635F00C80000BD,42,2,40
20635F00C80000BE,120,63,57
20635F00C80000BF,87,4,83
20635F00C80000C0,46,4,42
20635F00C80000C1,40,0,40
20635F00C80000C2,44,1,43
20635F00C80000C3,43,3,40
20635F00C80000C4,30,3,27
20635F00C80000C5,29,3,26
20635F00C80000E4,45,3,42
20635F00C80000E5,67,8,59
20635F00C80000E6,207,108,99
20635F00C80000E7,148,91,57
20635F00C80000E8,71,2,69
20635F00C80000E9,52,6,46
20635F00C80000EA,0,0,0
20635F00C80000EB,0,0,0
20635F00C80000EC,0,0,0
20635F00C80000ED,26,0,26
20635F010700005D,0,0,0
20635F01070000A5,0,0,0
Overall,2993,920,2073
