Device_id, total # of records, # of good records, # of bad records
20635F00C8000015,182,182,0
20635F00C8000062,21,1,20
20635F00C8000063,32,1,31
20635F00C8000064,23,2,21
20635F00C8000065,30,3,27
20635F00C8000066,23,2,21
20635F00C8000067,32,0,32
20635F00C8000068,29,1,28
20635F00C8000069,23,0,23
20635F00C800006A,24,1,23
20635F00C800006B,0,0,0
20635F00C8000080,29,0,29
20635F00C8000081,94,4,90
20635F00C8000082,77,5,72
20635F00C8000083,83,6,77
20635F00C8000084,250,126,124
20635F00C8000085,26,1,25
20635F00C8000086,30,1,29
20635F00C8000087,34,1,33
20635F00C8000088,37,0,37
20635F00C8000089,46,1,45
20635F00C80000A8,117,81,36
20635F00C80000A9,90,4,86
20635F00C80000AA,47,4,43
20635F00C80000AB,32,3,29
20635F00C80000AC,49,4,45
20635F00C80000AD,35,2,33
20635F00C80000AE,41,4,37
20635F00C80000AF,89,44,45
20635F00C80000B0,34,1,33
20635F00C80000B1,85,58,27
20635F00C80000BC,40,2,38
20635F00C80000BD,42,3,39
20635F00C80000BE,116,58,58
20635F00C80000BF,82,3,79
20635F00C80000C0,44,2,42
20635F00C80000C1,63,3,60
20635F00C80000C2,37,3,34
20635F00C80000C3,50,2,48
20635F00C80000C4,56,2,54
20635F00C80000C5,31,2,29
20635F00C80000E4,35,5,30
20635F00C80000E5,56,4,52
20635F00C80000E6,224,119,105
20635F00C80000E7,188,3,185
20635F00C80000E8,79,4,75
20635F00C80000E9,36,1,35
20635F00C80000EA,0,0,0
20635F00C80000EB,0,0,0
20635F00C80000EC,0,0,0
20635F00C80000ED,33,0,33
20635F010700005D,0,0,0
20635F01070000A5,0,0,0
Overall,2956,759,2197
