Device_id, total # of records, # of good records, # of bad records
20635F00C8000015,128,128,0
20635F00C8000062,10,0,10
20635F00C8000063,14,0,14
20635F00C8000064,17,1,16
20635F00C8000065,11,0,11
20635F00C8000066,6,1,5
20635F00C8000067,7,0,7
20635F00C8000068,11,1,10
20635F00C8000069,16,0,16
20635F00C800006A,4,0,4
20635F00C800006B,0,0,0
20635F00C8000080,17,0,17
20635F00C8000081,87,2,85
20635F00C8000082,78,2,76
20635F00C8000083,86,5,81
20635F00C8000084,251,126,125
20635F00C8000085,31,0,31
20635F00C8000086,26,1,25
20635F00C8000087,33,2,31
20635F00C8000088,19,0,19
20635F00C8000089,17,1,16
20635F00C80000A8,142,99,43
20635F00C80000A9,84,3,81
20635F00C80000AA,9,0,9
20635F00C80000AB,22,1,21
20635F00C80000AC,43,1,42
20635F00C80000AD,45,4,41
20635F00C80000AE,34,2,32
20635F00C80000AF,121,63,58
20635F00C80000B0,23,0,23
20635F00C80000B1,124,85,39
20635F00C80000BC,31,1,30
20635F00C80000BD,27,0,27
20635F00C80000BE,119,58,61
20635F00C80000BF,79,3,76
20635F00C80000C0,33,3,30
20635F00C80000C1,27,1,26
20635F00C80000C2,26,1,25
20635F00C80000C3,17,0,17
20635F00C80000C4,25,0,25
20635F00C80000C5,44,6,38
20635F00C80000E4,45,5,40
20635F00C80000E5,28,28,0
20635F00C80000E6,81,81,0
20635F00C80000E7,39,39,0
20635F00C80000E8,97,2,95
20635F00C80000E9,45,2,43
20635F00C80000EA,0,0,0
20635F00C80000EB,0,0,0
20635F00C80000EC,0,0,0
20635F00C80000ED,24,0,24
20635F010700005D,0,0,0
20635F01070000A5,0,0,0
Overall,2303,758,1545
