Device_id, total # of records, # of good records, # of bad records
20635F00C8000015,0,0,0
20635F00C8000062,27,1,26
20635F00C8000063,40,1,39
20635F00C8000064,41,0,41
20635F00C8000065,29,2,27
20635F00C8000066,24,1,23
20635F00C8000067,28,0,28
20635F00C8000068,36,1,35
20635F00C8000069,24,0,24
20635F00C800006A,23,0,23
20635F00C800006B,0,0,0
20635F00C8000080,35,3,32
20635F00C8000081,58,3,55
20635F00C8000082,57,4,53
20635F00C8000083,68,4,64
20635F00C8000084,215,108,107
20635F00C8000085,44,5,39
20635F00C8000086,45,1,44
20635F00C8000087,63,1,62
20635F00C8000088,29,1,28
20635F00C8000089,54,0,54
20635F00C80000A8,91,61,30
20635F00C80000A9,87,7,80
20635F00C80000AA,36,1,35
20635F00C80000AB,25,0,25
20635F00C80000AC,49,5,44
20635F00C80000AD,59,2,57
20635F00C80000AE,53,0,53
20635F00C80000AF,174,93,81
20635F00C80000B0,42,2,40
20635F00C80000B1,119,78,41
20635F00C80000BC,38,1,37
20635F00C80000BD,31,0,31
20635F00C80000BE,152,77,75
20635F00C80000BF,82,2,80
20635F00C80000C0,50,3,47
20635F00C80000C1,40,3,37
20635F00C80000C2,53,0,53
20635F00C80000C3,35,2,33
20635F00C80000C4,21,0,21
20635F00C80000C5,62,4,58
20635F00C80000E4,57,5,52
20635F00C80000E5,0,0,0
20635F00C80000E6,0,0,0
20635F00C80000E7,30,30,0
20635F00C80000E8,101,4,97
20635F00C80000E9,53,4,49
20635F00C80000EA,0,0,0
20635F00C80000EB,0,0,0
20635F00C80000EC,0,0,0
20635F00C80000ED,32,0,32
20635F010700005D,0,0,0
20635F01070000A5,0,0,0
Overall,2512,520,1992
