Device_id, total # of records, # of good records, # of bad records
20635F00C8000015,0,0,0
20635F00C8000062,22,1,21
20635F00C8000063,18,0,18
20635F00C8000064,21,0,21
20635F00C8000065,22,2,20
20635F00C8000066,25,2,23
20635F00C8000067,20,0,20
20635F00C8000068,24,1,23
20635F00C8000069,17,0,17
20635F00C800006A,21,0,21
20635F00C800006B,0,0,0
20635F00C8000080,34,5,29
20635F00C8000081,68,2,66
20635F00C8000082,72,3,69
20635F00C8000083,76,2,74
20635F00C8000084,241,115,126
20635F00C8000085,34,1,33
20635F00C8000086,37,1,36
20635F00C8000087,65,10,55
20635F00C8000088,34,5,29
20635F00C8000089,51,2,49
20635F00C80000A8,180,125,55
20635F00C80000A9,83,8,75
20635F00C80000AA,31,2,29
20635F00C80000AB,65,3,62
20635F00C80000AC,55,4,51
20635F00C80000AD,69,3,66
20635F00C80000AE,40,1,39
20635F00C80000AF,188,97,91
20635F00C80000B0,65,4,61
20635F00C80000B1,138,91,47
20635F00C80000BC,67,1,66
20635F00C80000BD,37,1,36
20635F00C80000BE,176,92,84
20635F00C80000BF,82,1,81
20635F00C80000C0,71,0,71
20635F00C80000C1,44,3,41
20635F00C80000C2,59,3,56
20635F00C80000C3,49,2,47
20635F00C80000C4,34,0,34
20635F00C80000C5,65,7,58
20635F00C80000E4,43,4,39
20635F00C80000E5,0,0,0
20635F00C80000E6,0,0,0
20635F00C80000E7,34,34,0
20635F00C80000E8,93,7,86
20635F00C80000E9,30,0,30
20635F00C80000EA,0,0,0
20635F00C80000EB,0,0,0
20635F00C80000EC,0,0,0
20635F00C80000ED,26,8,18
20635F010700005D,0,0,0
20635F01070000A5,0,0,0
Overall,2726,653,2073
