Device_id, total # of records, # of good records, # of bad records
20635F00C8000015,0,0,0
20635F00C8000062,36,1,35
20635F00C8000063,44,3,41
20635F00C8000064,49,2,47
20635F00C8000065,32,0,32
20635F00C8000066,44,1,43
20635F00C8000067,33,0,33
20635F00C8000068,43,2,41
20635F00C8000069,51,1,50
20635F00C800006A,34,1,33
20635F00C800006B,0,0,0
20635F00C8000080,40,2,38
20635F00C8000081,69,2,67
20635F00C8000082,45,2,43
20635F00C8000083,45,4,41
20635F00C8000084,173,88,85
20635F00C8000085,43,4,39
20635F00C8000086,32,1,31
20635F00C8000087,42,2,40
20635F00C8000088,22,0,22
20635F00C8000089,31,0,31
20635F00C80000A8,106,66,40
20635F00C80000A9,86,3,83
20635F00C80000AA,45,3,42
20635F00C80000AB,56,2,54
20635F00C80000AC,39,2,37
20635F00C80000AD,53,2,51
20635F00C80000AE,33,3,30
20635F00C80000AF,139,68,71
20635F00C80000B0,52,1,51
20635F00C80000B1,162,113,49
20635F00C80000BC,31,0,31
20635F00C80000BD,23,2,21
20635F00C80000BE,139,70,69
20635F00C80000BF,87,2,85
20635F00C80000C0,51,1,50
20635F00C80000C1,54,3,51
20635F00C80000C2,62,2,60
20635F00C80000C3,52,2,50
20635F00C80000C4,36,1,35
20635F00C80000C5,25,1,24
20635F00C80000E4,43,3,40
20635F00C80000E5,0,0,0
20635F00C80000E6,0,0,0
20635F00C80000E7,16,16,0
20635F00C80000E8,94,4,90
20635F00C80000E9,33,2,31
20635F00C80000EA,0,0,0
20635F00C80000EB,0,0,0
20635F00C80000EC,0,0,0
20635F00C80000ED,41,4,37
20635F010700005D,0,0,0
20635F01070000A5,0,0,0
Overall,2466,492,1974
