Device_id, total # of records, # of good records, # of bad records
20635F00C8000015,0,0,0
20635F00C8000062,41,1,40
20635F00C8000063,34,1,33
20635F00C8000064,51,1,50
20635F00C8000065,32,1,31
20635F00C8000066,47,4,43
20635F00C8000067,37,1,36
20635F00C8000068,32,0,32
20635F00C8000069,37,2,35
20635F00C800006A,32,0,32
20635F00C800006B,0,0,0
20635F00C8000080,37,1,36
20635F00C8000081,39,1,38
20635F00C8000082,15,0,15
20635F00C8000083,45,0,45
20635F00C8000084,147,75,72
20635F00C8000085,43,1,42
20635F00C8000086,45,0,45
20635F00C8000087,30,0,30
20635F00C8000088,44,2,42
20635F00C8000089,42,0,42
20635F00C80000A8,122,83,39
20635F00C80000A9,80,2,78
20635F00C80000AA,49,2,47
20635F00C80000AB,26,1,25
20635F00C80000AC,48,1,47
20635F00C80000AD,43,1,42
20635F00C80000AE,38,2,36
20635F00C80000AF,117,63,54
20635F00C80000B0,40,2,38
20635F00C80000B1,167,113,54
20635F00C80000BC,22,0,22
20635F00C80000BD,39,0,39
20635F00C80000BE,130,63,67
20635F00C80000BF,75,2,73
20635F00C80000C0,42,1,41
20635F00C80000C1,44,0,44
20635F00C80000C2,47,1,46
20635F00C80000C3,44,1,43
20635F00C80000C4,41,1,40
20635F00C80000C5,50,0,50
20635F00C80000E4,47,1,46
20635F00C80000E5,0,0,0
20635F00C80000E6,0,0,0
20635F00C80000E7,19,19,0
20635F00C80000E8,96,2,94
20635F00C80000E9,46,0,46
20635F00C80000EA,0,0,0
20635F00C80000EB,0,0,0
20635F00C80000EC,0,0,0
20635F00C80000ED,34,1,33
20635F010700005D,0,0,0
20635F01070000A5,0,0,0
Overall,2336,453,1883
