Device_id, total # of records, # of good records, # of bad records
20635F00C8000015,0,0,0
20635F00C8000062,15,1,14
20635F00C8000063,19,1,18
20635F00C8000064,24,6,18
20635F00C8000065,21,0,21
20635F00C8000066,16,2,14
20635F00C8000067,19,0,19
20635F00C8000068,33,3,30
20635F00C8000069,19,0,19
20635F00C800006A,12,1,11
20635F00C800006B,0,0,0
20635F00C8000080,19,1,18
20635F00C8000081,93,5,88
20635F00C8000082,97,6,91
20635F00C8000083,96,5,91
20635F00C8000084,287,144,143
20635F00C8000085,50,5,45
20635F00C8000086,68,2,66
20635F00C8000087,58,3,55
20635F00C8000088,44,1,43
20635F00C8000089,62,1,61
20635F00C80000A8,131,92,39
20635F00C80000A9,81,6,75
20635F00C80000AA,61,7,54
20635F00C80000AB,73,2,71
20635F00C80000AC,67,4,63
20635F00C80000AD,44,3,41
20635F00C80000AE,58,3,55
20635F00C80000AF,135,67,68
20635F00C80000B0,67,8,59
20635F00C80000B1,189,127,62
20635F00C80000BC,62,4,58
20635F00C80000BD,44,1,43
20635F00C80000BE,150,73,77
20635F00C80000BF,82,3,79
20635F00C80000C0,65,4,61
20635F00C80000C1,69,4,65
20635F00C80000C2,39,0,39
20635F00C80000C3,55,5,50
20635F00C80000C4,56,6,50
20635F00C80000C5,57,2,55
20635F00C80000E4,63,4,59
20635F00C80000E5,0,0,0
20635F00C80000E6,0,0,0
20635F00C80000E7,1,1,0
20635F00C80000E8,98,8,90
20635F00C80000E9,53,2,51
20635F00C80000EA,0,0,0
20635F00C80000EB,0,0,0
20635F00C80000EC,0,0,0
20635F00C80000ED,25,0,25
20635F010700005D,0,0,0
20635F01070000A5,0,0,0
Overall,2877,623,2254
