Device_id, total # of records, # of good records, # of bad records
20635F00C8000015,0,0,0
20635F00C8000062,72,1,71
20635F00C8000063,73,1,72
20635F00C8000064,83,1,82
20635F00C8000065,89,3,86
20635F00C8000066,94,1,93
20635F00C8000067,67,0,67
20635F00C8000068,88,1,87
20635F00C8000069,71,2,69
20635F00C800006A,75,1,74
20635F00C800006B,0,0,0
20635F00C8000080,87,1,86
20635F00C8000081,182,2,180
20635F00C8000082,167,2,165
20635F00C8000083,168,2,166
20635F00C8000084,255,2,253
20635F00C8000085,105,1,104
20635F00C8000086,95,1,94
20635F00C8000087,68,0,68
20635F00C8000088,90,0,90
20635F00C8000089,93,1,92
20635F00C80000A8,111,1,110
20635F00C80000A9,156,1,155
20635F00C80000AA,59,0,59
20635F00C80000AB,90,1,89
20635F00C80000AC,100,1,99
20635F00C80000AD,68,4,64
20635F00C80000AE,86,0,86
20635F00C80000AF,157,61,96
20635F00C80000B0,88,2,86
20635F00C80000B1,71,1,70
20635F00C80000BC,87,1,86
20635F00C80000BD,87,8,79
20635F00C80000BE,118,1,117
20635F00C80000BF,88,11,77
20635F00C80000C0,71,1,70
20635F00C80000C1,61,0,61
20635F00C80000C2,88,2,86
20635F00C80000C3,38,11,27
20635F00C80000C4,53,2,51
20635F00C80000C5,194,3,191
20635F00C80000E4,68,0,68
20635F00C80000E5,0,0,0
20635F00C80000E6,0,0,0
20635F00C80000E7,0,0,0
20635F00C80000E8,122,2,120
20635F00C80000E9,86,0,86
20635F00C80000EA,0,0,0
20635F00C80000EB,0,0,0
20635F00C80000EC,0,0,0
20635F00C80000ED,57,6,51
20635F010700005D,0,0,0
20635F01070000A5,0,0,0
Overall,4226,143,4083
