Device_id, total # of records, # of good records, # of bad records
20635F00C8000015,0,0,0
20635F00C8000062,69,2,67
20635F00C8000063,93,1,92
20635F00C8000064,92,1,91
20635F00C8000065,50,1,49
20635F00C8000066,117,2,115
20635F00C8000067,86,1,85
20635F00C8000068,80,7,73
20635F00C8000069,71,0,71
20635F00C800006A,67,0,67
20635F00C800006B,0,0,0
20635F00C8000080,90,2,88
20635F00C8000081,156,2,154
20635F00C8000082,149,2,147
20635F00C8000083,162,1,161
20635F00C8000084,231,1,230
20635F00C8000085,107,2,105
20635F00C8000086,112,1,111
20635F00C8000087,132,2,130
20635F00C8000088,107,1,106
20635F00C8000089,54,0,54
20635F00C80000A8,113,1,112
20635F00C80000A9,170,2,168
20635F00C80000AA,98,1,97
20635F00C80000AB,71,1,70
20635F00C80000AC,104,1,103
20635F00C80000AD,68,1,67
20635F00C80000AE,73,1,72
20635F00C80000AF,106,3,103
20635F00C80000B0,61,1,60
20635F00C80000B1,89,2,87
20635F00C80000BC,72,1,71
20635F00C80000BD,147,0,147
20635F00C80000BE,107,1,106
20635F00C80000BF,90,9,81
20635F00C80000C0,70,1,69
20635F00C80000C1,85,0,85
20635F00C80000C2,67,0,67
20635F00C80000C3,127,0,127
20635F00C80000C4,41,0,41
20635F00C80000C5,124,0,124
20635F00C80000E4,87,1,86
20635F00C80000E5,0,0,0
20635F00C80000E6,0,0,0
20635F00C80000E7,1,1,0
20635F00C80000E8,168,2,166
20635F00C80000E9,58,3,55
20635F00C80000EA,0,0,0
20635F00C80000EB,0,0,0
20635F00C80000EC,0,0,0
20635F00C80000ED,87,1,86
20635F010700005D,0,0,0
20635F01070000A5,0,0,0
Overall,4309,63,4246
