Device_id, total # of records, # of good records, # of bad records
20635F00C8000015,0,0,0
20635F00C8000062,25,1,24
20635F00C8000063,46,2,44
20635F00C8000064,52,1,51
20635F00C8000065,26,2,24
20635F00C8000066,40,1,39
20635F00C8000067,23,0,23
20635F00C8000068,49,1,48
20635F00C8000069,16,2,14
20635F00C800006A,32,0,32
20635F00C800006B,0,0,0
20635F00C8000080,34,1,33
20635F00C8000081,128,1,127
20635F00C8000082,69,6,63
20635F00C8000083,68,2,66
20635F00C8000084,225,1,224
20635F00C8000085,99,0,99
20635F00C8000086,117,2,115
20635F00C8000087,130,2,128
20635F00C8000088,106,3,103
20635F00C8000089,44,1,43
20635F00C80000A8,97,2,95
20635F00C80000A9,87,5,82
20635F00C80000AA,94,2,92
20635F00C80000AB,35,0,35
20635F00C80000AC,69,2,67
20635F00C80000AD,120,2,118
20635F00C80000AE,93,2,91
20635F00C80000AF,134,0,134
20635F00C80000B0,42,1,41
20635F00C80000B1,101,2,99
20635F00C80000BC,76,3,73
20635F00C80000BD,57,1,56
20635F00C80000BE,155,1,154
20635F00C80000BF,89,7,82
20635F00C80000C0,40,0,40
20635F00C80000C1,60,3,57
20635F00C80000C2,118,1,117
20635F00C80000C3,104,0,104
20635F00C80000C4,119,1,118
20635F00C80000C5,48,6,42
20635F00C80000E4,38,1,37
20635F00C80000E5,0,0,0
20635F00C80000E6,0,0,0
20635F00C80000E7,4,4,0
20635F00C80000E8,92,6,86
20635F00C80000E9,58,2,56
20635F00C80000EA,0,0,0
20635F00C80000EB,0,0,0
20635F00C80000EC,0,0,0
20635F00C80000ED,36,1,35
20635F010700005D,0,0,0
20635F01070000A5,0,0,0
Overall,3295,84,3211
